"Rank","Mark","Wind","Competitor","DOB","Nat","Pos","Venue","Date","ResultsScore"
"347","7.43","","Scovia AYIKORU","14 JAN 1994","UGA","3","CrossPlex Athletic Facility, Birmingham, AL (USA) (i)","21 FEB 2023","1074"
"347","7.43","","Camille CHRISTOPHER","20 MAR 2000","USA","4h2","SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)","24 FEB 2023","1074"
"347","7.43","","Yanjun LIAO","30 SEP 1998","TPE","1h4","Convention Center, Albuquerque, NM (USA) (i)","24 FEB 2023","1074"
"347","7.43","","Taniya LOONEY","","USA","4h2","Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)","10 MAR 2023","1074"
"347","7.43","","Aleesa SAMUEL","2007","USA","1h6","The Track at New Balance, Boston, MA (USA) (i)","11 MAR 2023","1074"
"367","7.44","","Daszay FREEMAN","25 JAN 2000","JAM","4h3","Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)","13 JAN 2023","1071"
"367","7.44","","Chiara MELON","08 OCT 1999","ITA","2h1","Palaindoor Ancona, Ancona (ITA) (i)","21 JAN 2023","1071"
"367","7.44","","Tamiris DE LIZ","18 NOV 1995","BRA","4","Track & Field complex QAZAQSTAN, Astana (KAZ) (i)","23 JAN 2023","1071"
"367","7.44","","Nikola BENDOVÁ","04 NOV 1999","CZE","1f3","Atletická hala, Ostrava (CZE) (i)","02 FEB 2023","1071"
"367","7.44","","Naomi SEDNEY","17 DEC 1994","NED","2f2","Laugardalshöll, Reykjavík (ISL) (i)","05 FEB 2023","1071"
"367","7.44","","Eva MISIŪNAITĖ","04 DEC 1991","LTU","1f6","Jāņa Daliņa Manēža, Valmiera (LAT) (i)","05 FEB 2023","1071"
"367","7.44","","Gabrielle COLE","2004","CAN","1f2","Dennis Fairall Fieldhouse, Windsor (CAN) (i)","10 FEB 2023","1071"
"367","7.44","","Anivea GILBERT","","USA","5","Sports Performance Center, Lubbock, TX (USA) (i)","10 FEB 2023","1071"
"367","7.44","","Maribel Vanessa CAICEDO","01 APR 1998","ECU","2h6","Convention Center, Albuquerque, NM (USA) (i)","11 FEB 2023","1071"
"367","7.44","","Nooralotta NEZIRI","09 NOV 1992","FIN","1f2","TESC, Tampere (FIN) (i)","12 FEB 2023","1071"
"367","7.44","","Monika ROMASZKO","13 APR 2002","POL","4h3","Arena, Toruń (POL) (i)","18 FEB 2023","1071"
"367","7.44","","Amanda OBIJAKU","26 AUG 2003","ITA","4h1","Sports Performance Center, Lubbock, TX (USA) (i)","24 FEB 2023","1071"
"367","7.44","","Kiyah YEAST","09 APR 2002","USA","4h2","Norton Sports Center, Louisville, KY (USA) (i)","24 FEB 2023","1071"
"367","7.44","","I'Asia WILSON","2003","USA","2h4","CrossPlex Athletic Facility, Birmingham, AL (USA) (i)","24 FEB 2023","1071"
"367","7.44","","Marcia SEY","07 NOV 2001","GBR","3h3","SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)","24 FEB 2023","1071"
"367","7.44","","Benedetta KOUAKOU","15 SEP 2004","CIV","1","Halle Stéphane Diagana, Lyon (FRA) (i)","25 FEB 2023","1071"
"367","7.44","","Vivian OGOR","2000","CAN","4","Dennis Fairall Fieldhouse, Windsor (CAN) (i)","25 FEB 2023","1071"
"367","7.44","-1.4","Grizell SCARLETT","11 NOV 2001","JAM","5h1","National Stadium, Kingston (JAM)","25 FEB 2023","1099"
"367","7.44","","Kennedi PORTER","","USA","4","Convention Center, Albuquerque, NM (USA) (i)","25 FEB 2023","1071"
"367","7.44","","Isabella HOHL","","USA","6","Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)","11 MAR 2023","1071"
"367","7.44","","Luna ARNAS","26 APR 2008","ESP","1","Pistas Expourense, Ourense (ESP) (i)","25 MAR 2023","1071"
"367","7.44","","Juvonna CORNETTE","","GUY","1","GVSU Kelly Family Sports Cente, Allendale, MI (USA) (i)","08 DEC 2023","1071"
"367","7.44","","Kya EPPS","","USA","2","GVSU Kelly Family Sports Cente, Allendale, MI (USA) (i)","08 DEC 2023","1071"
"390","7.45","","Camille RUTHERFORD","31 AUG 2002","BAH","1h2","Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)","13 JAN 2023","1068"
"390","7.45","","Sila KOLOĞLU","20 AUG 2004","TUR","1","Osmangazi Atletizm Salonu, Bursa (TUR) (i)","21 JAN 2023","1068"
"390","7.45","","Shaniya HALL","12 OCT 2001","USA","5h3","Sports Performance Center, Lubbock, TX (USA) (i)","27 JAN 2023","1068"
"390","7.45","","Diana SUUMANN","05 JUL 1992","EST","3f5","Lasnamäe Kergejõustikuhall, Tallinn (EST) (i)","29 JAN 2023","1068"
"390","7.45","","Im Lan LOI","06 FEB 1998","MAC","5h1","Nur-Sultan (KAZ) (i)","10 FEB 2023","1068"
"390","7.45","","Cuiwei ZHU","30 JUN 2000","CHN","3h5","Shaanxi Zhangba Trainig Center (CHN) (i)","11 FEB 2023","1068"
"390","7.45","","Kate PETSCH","","USA","3h4","Convention Center, Albuquerque, NM (USA) (i)","11 FEB 2023","1068"
"390","7.45","","Tahalia FAIRMAN","","USA","1","Liberty Indoor Complex, Lynchburg, VA (USA) (i)","11 FEB 2023","1068"
"390","7.45","","Ashantai BOLLERS","16 JUN 2002","CAN","4","Sports Performance Center, Lubbock, TX (USA) (i)","17 FEB 2023","1068"
"390","7.45","","Isabel POSCH","28 FEB 2000","AUT","2","TipsArena, Linz (AUT) (i)","18 FEB 2023","1068"
"390","7.45","","Janie DE NAEYER","17 AUG 2001","BEL","2h3","Topsporthal Vlaanderen, Gent (BEL) (i)","19 FEB 2023","1068"
